Located in Singapore, Swissotel The Stamford, Singapore is connected to a shopping center. Merlion and Marina Bay Sands Skypark are notable landmarks, and travelers looking to shop may want to visit Raffles City and Bugis Street Shopping District. Looking to enjoy an event or a game? See what&#39;s going on at Singapore National Stadium or Singapore Indoor Stadium. 	located in singapore , swissotel the stamford , singapore is connected to a shopping center . merlion and marina bay sands skypark are notable landmarks , and travelers looking to shop may want to visit r affles city and bugis street shopping district . looking to enjoy an event or a game ? see what &#39; s going on at singapore national stadium or singapore indoor stadium .	1
Located in Singapore, Peninsula Excelsior Hotel is connected to a shopping center. National Gallery Singapore and National Museum of Singapore are cultural highlights, and some of the area&#39;s notable landmarks include Merlion and Marina Bay Sands Skypark. Looking to enjoy an event or a game? See what&#39;s going on at Singapore National Stadium or Singapore Indoor Stadium. Our guests appreciate the hotel&#39;s location for the sightseeing. 	located in singapore , peninsula excelsior hotel is connected to a shopping center . national gallery singapore and national museum of singapore are cultural highlights , and some of the area &#39; s notab le landmarks include merlion and marina bay sands skypark . looking to enjoy an event or a game ? see what &#39; s going on at singapore national stadium or singapore indoor stadium . our guests appreciate the hotel &#39; s location for the sightseeing .	1
"Harmony Suites is located near the beach and in a walkable area with good shopping. While the natural beauty of Reduit Beach and Vigie Beach can be enjoyed by anyone, those looking for an activity can check out Rodney Bay Marina. 
Looking to enjoy an event or a game while in town? See what&#39;s going on at Daren Sammy Cricket Ground, or consider a night out at Friday Night Street Party. Looking to get your feet wet? Kayaking, scuba diving and snorkeling adventures can be found near the property. "	harmony suites is located near the beach and in a walkable area with good shopping . while the natural beauty of reduit beach and vigie beach can be enjoyed by anyone , those looking for an activity can check out rodney bay marina . looking to enjoy an event or a game while in town ? see what &#39; s going on at daren sammy cricket ground , or consider a night out at friday night street party . looking t o get your feet wet ? kayaking , scuba diving and snorkeling adventures can be found near the property .	1
In the city center and near a metro station, Carlton Hotel Singapore is in an area with great airport proximity. Mint Museum of Toys and Singapore Art Museum are cultural highlights, and some of the area&#39;s notable landmarks include Stamford House and Cathedral of the Good Shepherd. Singapore Flyer and Universal Studios Singapore™ are not to be missed. Spend some time exploring the area&#39;s activities, including golfing. 	in the city center and near a metro station , carlton hotel singapore is in an area with great airport proximity . mint museum of toys and singapore art museum are cultural highlights , and some of the a rea &#39; s notable landmarks include stamford house and cathedral of the good shepherd . singapore flyer and universal studios singapore ™ are not to be missed . spend some time exploring the area &#39; s a ctivities , including golfing .	1
Located in Marina Bay neighborhood, The Ritz-Carlton, Millenia Singapore is connected to a shopping center. Esplanade Theatres and ArtScience Museum are cultural highlights, and travelers looking to shop may want to visit Millenia Walk and Marina Square. Traveling with kids? Don&#39;t miss Singapore Flyer. Break out the clubs and hit the links with a golf course nearby, or seek out an adventure with hiking/biking trails. 	located in marina bay neighborhood , the ritz-carlton , millenia singapore is connected to a shopping center . esplanade theatres and artscience museum are cultural highlights , and travelers looking to s hop may want to visit millenia walk and marina square . traveling with kids ? don &#39; t miss singapore flyer . break out the clubs and hit the links with a golf course nearby , or seek out an adventure wi th hiking/biking trails .	1
Located in Marina Bay neighborhood, Pan Pacific Singapore is connected to a shopping center. Marina Bay Cruise Centre Singapore and Boat Quay are worth checking out if an activity is on the agenda, while those in the mood for shopping can visit Marina Square and Bugis Street Shopping District. Traveling with kids? Don&#39;t miss Singapore Flyer and National Orchid Garden. Spend some time exploring the area&#39;s activities, including golfing. Our guests appreciate the hotel&#39;s central location. 	located in marina bay neighborhood , pan pacific singapore is connected to a shopping center . marina bay cruise centre singapore and boat quay are worth checking out if an activity is on the agenda , wh ile those in the mood for shopping can visit marina square and bugis street shopping district . traveling with kids ? don &#39; t miss singapore flyer and national orchid garden . spend some time exploring the area &#39; s activities , including golfing . our guests appreciate the hotel &#39; s central location .	1
Located in San Jose, Radisson San Jose-Costa Rica is connected to the convention center. Children&#39;s Museum (Museo de los Ninos) and National Theater are cultural highlights, and travelers looking to shop may want to visit Mercado Central. Traveling with kids? Don&#39;t miss Simon Bolivar Zoo. Practice your golf swing with lessons and a golf course nearby, or enjoy other activities in the great outdoors, such as hiking/biking trails and ecotours in the area. Our guests appreciate the hotel&#39;s central location. 	located in san jose , radisson san jose-costa rica is connected to the convention center . children &#39; s museum -lrb- museo de los ninos -rrb- and national theater are cultural highlights , and travelers looking to shop may want to visit mercado central . traveling with kids ? don &#39; t miss simon bolivar zoo . practice your golf swing with lessons and a golf course nearby , or enjoy other activities in the great outdoors , such as hiking/biking trails and ecotours in the area . our guests appreciate the hotel &#39; s central location .	1
Located in George Town, Augusta Bay is in the entertainment district and on a private beach. Rolletown Tombs and Hermitage Tomb are local landmarks, and the area&#39;s natural beauty can be seen at Emerald Bay Beach and Tropic of Cancer Beach. Discover the area&#39;s water adventures with scuba diving, snorkeling, and sailing nearby, or enjoy the great outdoors with ecotours. 	located in george town , augusta bay is in the entertainment district and on a private beach . rolletown tombs and hermitage tomb are local landmarks , and the area &#39; s natural beauty can be seen at em erald bay beach and tropic of cancer beach . discover the area &#39; s water adventures with scuba diving , snorkeling , and sailing nearby , or enjoy the great outdoors with ecotours .	1
Located in St. Julian&#39;s, Golden Tulip Vivaldi Hotel is in the entertainment district and near the beach. Malta Experience and Fort St. Elmo are cultural highlights, and some of the area&#39;s notable landmarks include Sliema Promenade and St. Paul&#39;s Cathedral. Malta National Aquarium and Mediterraneo Marine Park are also worth visiting. Scuba diving, water skiing, and windsurfing offer great chances to get out on the surrounding water, or you can seek out an adventure with ecotours nearby. 	located in st. julian &#39; s , golden tulip vivaldi hotel is in the entertainment district and near the beach . malta experience and fort st. elmo are cultural highlights , and some of the area &#39; s nota ble landmarks include sliema promenade and st. paul &#39; s cathedral . malta national aquarium and mediterraneo marine park are also worth visiting . scuba diving , water skiing , and windsurfing offer gre at chances to get out on the surrounding water , or you can seek out an adventure with ecotours nearby .	1
Located in St. Julian&#39;s, The Westin Dragonara Resort, Malta is in the city center and by the sea. Sliema Promenade and St. Paul&#39;s Cathedral are notable landmarks, and the area&#39;s natural beauty can be seen at St George&#39;s Beach and Upper Barrakka Gardens. Traveling with kids? Consider Malta National Aquarium and Mediterraneo Marine Park. 	located in st. julian &#39; s , the westin dragonara resort , malta is in the city center and by the sea . sliema promenade and st. paul &#39; s cathedral are notable landmarks , and the area &#39; s natural be auty can be seen at st george &#39; s beach and upper barrakka gardens . traveling with kids ? consider malta national aquarium and mediterraneo marine park .	1
